Ref,Pr ,Ra,Nu,Re,Aspect_ratio,Shape,Boundary_conditions,
Ref-1,0.66,7.16E+06,2.16,,0.5,0,0,
,0.66,4.87E+04,1.36,,0.5,0,0,
,0.66,4.10E+04,1.05,,0.5,0,0,
,0.67,2.46E+05,5.77,,0.5,0,0,
,0.66,3.63E+04,1.01,,0.5,0,0,
,0.67,3.38E+05,6.93,,0.5,0,0,
,0.67,2.74E+05,6.16,,0.5,0,0,
,0.67,2.00E+05,5.06,,0.5,0,0,
,0.66,1.14E+05,3.25,,0.5,0,0,
,0.66,1.04E+04,1,,0.5,0,0,
,0.66,2.11E+04,1.02,,0.5,0,0,
,0.66,5.21E+03,1.02,,0.5,0,0,
,0.66,7.08E+02,0.999,,0.5,0,0,
,0.66,2.21E+05,5.44,,0.5,0,0,
,0.66,1.23E+05,3.05,,0.5,0,0,
,0.66,1.69E+04,0.935,,0.5,0,0,
,0.66,5.18E+04,1.43,,0.5,0,0,
,0.66,8.74E+04,2.63,,0.5,0,0,
,0.66,8.60E+04,2.55,,0.5,0,0,
,0.66,4.07E+04,0.98,,0.5,0,0,
,0.66,4.00E+04,1.02,,0.5,0,0,
,0.66,2.36E+04,1.04,,0.5,0,0,
,0.66,7.71E+04,2.24,,0.5,0,0,
,0.66,2.83E+05,6.28,,0.5,0,0,
,0.66,2.36E+04,1.01,,0.5,0,0,
,0.66,1.03E+04,0.984,,0.5,0,0,
,0.67,1.34E+06,12.3,,0.5,0,0,
,0.67,1.28E+06,12.1,,0.5,0,0,
,0.67,1.15E+06,11.7,,0.5,0,0,
,0.67,9.82E+05,11.1,,0.5,0,0,
,0.67,1.00E+06,11.3,,0.5,0,0,
,0.67,1.17E+07,20.4,,0.5,0,0,
,0.67,3.64E+07,25.8,,0.5,0,0,
,0.67,8.42E+07,32.8,,0.5,0,0,
,0.69,1.30E+08,38.5,,0.5,0,0,
,0.69,1.28E+08,38.5,,0.5,0,0,
,0.65,9.61E+08,62.4,,0.5,0,0,
,0.67,5.38E+08,38.9,,0.5,0,0,
,0.66,6.14E+08,41.4,,0.5,0,0,
,0.66,6.93E+08,44.8,,0.5,0,0,
,0.65,7.65E+08,48.2,,0.5,0,0,
,0.67,1.19E+07,20,,0.5,0,0,
,0.67,3.48E+07,26,,0.5,0,0,
,0.66,2.64E+05,5.91,,0.5,0,0,
,0.66,7.02E+05,9.62,,0.5,0,0,
,0.67,5.02E+06,17.3,,0.5,0,0,
,0.67,8.78E+07,33.7,,0.5,0,0,
,0.66,1.67E+06,12.7,,0.5,0,0,
,0.66,1.33E+06,11.7,,0.5,0,0,
,0.67,4.80E+07,28.6,,0.5,0,0,
,0.67,9.15E+07,34.2,,0.5,0,0,
,0.67,2.96E+08,48.7,,0.5,0,0,
,0.68,8.24E+08,66.1,,0.5,0,0,
,0.68,2.54E+09,92.3,,0.5,0,0,
,0.68,6.72E+09,123,,0.5,0,0,
,0.69,1.23E+10,133,,0.5,0,0,
,0.7,1.52E+10,157,,0.5,0,0,
,0.69,1.05E+10,139,,0.5,0,0,
,0.69,2.52E+09,89.1,,0.5,0,0,
,0.69,3.01E+09,94.8,,0.5,0,0,
,0.69,3.99E+09,102,,0.5,0,0,
,0.69,1.24E+09,72.8,,0.5,0,0,
,0.69,8.63E+06,18.4,,0.5,0,0,
,0.69,6.14E+08,59.9,,0.5,0,0,
,0.69,3.02E+08,48.8,,0.5,0,0,
,0.69,7.07E+09,123,,0.5,0,0,
,0.69,2.57E+07,25.1,,0.5,0,0,
,0.69,6.04E+07,29.6,,0.5,0,0,
,0.69,3.52E+09,98.1,,0.5,0,0,
,0.69,1.47E+08,38.5,,0.5,0,0,
,0.72,1.83E+09,82.5,,0.5,0,0,
,0.72,5.14E+09,110,,0.5,0,0,
,0.72,1.44E+10,149,,0.5,0,0,
,0.73,3.71E+10,201,,0.5,0,0,
,0.73,7.73E+10,253,,0.5,0,0,
,0.76,1.18E+11,293,,0.5,0,0,
,0.76,7.34E+10,248,,0.5,0,0,
,0.76,4.06E+10,205,,0.5,0,0,
,0.76,2.00E+10,164,,0.5,0,0,
,0.76,9.65E+09,134,,0.5,0,0,
,0.76,4.70E+09,107,,0.5,0,0,
,0.76,2.35E+09,82.5,,0.5,0,0,
,1.1,1.35E+10,151,,0.5,0,0,
,1.1,2.48E+10,184,,0.5,0,0,
,1.1,5.01E+10,233,,0.5,0,0,
,1.1,1.09E+11,292,,0.5,0,0,
,1.1,2.17E+11,365,,0.5,0,0,
,1.1,3.96E+11,443,,0.5,0,0,
,1.1,3.19E+09,96.5,,0.5,0,0,
,1.1,3.13E+09,96.1,,0.5,0,0,
,1.1,6.49E+09,121,,0.5,0,0,
,1.1,1.31E+10,152,,0.5,0,0,
,1.1,6.26E+09,124,,0.5,0,0,
,1.1,1.20E+09,66.6,,0.5,0,0,
,1.3,2.68E+11,395,,0.5,0,0,
,1.3,2.48E+11,384,,0.5,0,0,
,1.3,4.97E+11,485,,0.5,0,0,
,1.3,8.95E+10,282,,0.5,0,0,
,1.3,3.32E+10,207,,0.5,0,0,
,1.3,1.50E+11,329,,0.5,0,0,
,1.3,1.71E+10,166,,0.5,0,0,
,1.3,1.55E+11,339,,0.5,0,0,
,1.3,4.40E+11,483,,0.5,0,0,
,3.7,2.46E+11,418,,0.5,0,0,
,3.7,1.54E+11,346,,0.5,0,0,
,3.7,3.27E+11,454,,0.5,0,0,
,3.7,7.34E+10,220,,0.5,0,0,
,3.7,2.46E+11,418,,0.5,0,0,
,2,5.38E+11,484,,0.5,0,0,
,2,2.10E+11,337,,0.5,0,0,
,3.7,2.20E+11,297,,0.5,0,0,
,0.6,1.06E+11,259,,0.5,0,0,
,0.62,7.99E+10,235,,0.5,0,0,
,0.62,1.06E+11,262,,0.5,0,0,
,0.62,3.01E+10,182,,0.5,0,0,
,0.63,2.94E+11,368,,0.5,0,0,
,0.62,4.21E+10,203,,0.5,0,0,
,0.63,1.95E+11,324,,0.5,0,0,
,0.64,5.40E+11,453,,0.5,0,0,
,0.67,1.17E+07,20.5,,0.5,0,0,
,0.67,3.64E+07,25.9,,0.5,0,0,
,0.67,8.42E+07,32.9,,0.5,0,0,
,0.69,1.30E+08,38.5,,0.5,0,0,
,0.67,5.59E+08,38.8,,0.5,0,0,
,0.67,4.80E+07,28.7,,0.5,0,0,
,0.67,9.15E+07,34.3,,0.5,0,0,
,0.67,2.96E+08,48.9,,0.5,0,0,
,0.68,8.24E+08,66.3,,0.5,0,0,
,0.68,2.54E+09,92.4,,0.5,0,0,
,0.68,6.72E+09,123.1,,0.5,0,0,
,0.69,1.17E+10,134.8,,0.5,0,0,
,0.72,1.84E+09,82.7,,0.5,0,0,
,0.72,5.17E+09,110.2,,0.5,0,0,
,0.72,1.45E+10,148.9,,0.5,0,0,
,0.73,3.73E+10,201,,0.5,0,0,
,0.73,7.78E+10,253.1,,0.5,0,0,
,1.3,2.48E+11,384.5,,0.5,0,0,
,1.3,4.97E+11,484.8,,0.5,0,0,
,1.3,1.55E+11,339.5,,0.5,0,0,
,1.3,4.40E+11,482.7,,0.5,0,0,
,0.62,1.06E+11,262.2,,0.5,0,0,
,0.63,2.94E+11,367.8,,0.5,0,0,
Ref-2,0.68,5.97E+06,16.2,,1,0,0,
,0.68,8.86E+06,18.4,,1,0,0,
,0.68,1.88E+07,22.9,,1,0,0,
,0.68,1.98E+07,23.6,,1,0,0,
,0.68,2.19E+07,24,,1,0,0,
,0.68,2.75E+07,25.3,,1,0,0,
,0.68,3.40E+07,27.1,,1,0,0,
,0.68,5.03E+07,30.5,,1,0,0,
,0.68,9.93E+07,37.2,,1,0,0,
,0.68,1.56E+08,41.7,,1,0,0,
,0.68,3.45E+08,52.2,,1,0,0,
,0.68,5.34E+08,58.8,,1,0,0,
,0.68,7.58E+08,64.6,,1,0,0,
,0.69,1.48E+09,78.5,,1,0,0,
,0.69,2.09E+09,86,,1,0,0,
,0.69,2.79E+09,92.6,,1,0,0,
,0.69,4.30E+09,106,,1,0,0,
,0.69,6.08E+09,116,,1,0,0,
,0.69,8.06E+09,125,,1,0,0,
,0.69,1.02E+10,133,,1,0,0,
,0.7,1.66E+10,154,,1,0,0,
,0.7,2.58E+10,175,,1,0,0,
,0.71,3.59E+10,193,,1,0,0,
,0.71,5.24E+10,216,,1,0,0,
,0.74,1.04E+11,270,,1,0,0,
,0.74,1.44E+11,299,,1,0,0,
,0.76,1.82E+11,325,,1,0,0,
,0.79,3.59E+11,408,,1,0,0,
,0.82,5.65E+11,481,,1,0,0,
Ref-3,1,1.00E+06,8,,1,1,0,
,1,2.00E+06,10,,1,1,0,
,1,5.00E+06,13.4,,1,1,0,
,1,1.00E+07,16.3,,1,1,0,
,1,2.00E+07,20.2,,1,1,0,
,1,5.00E+07,26.8,,1,1,0,
,1,1.00E+08,32.9,,1,1,0,
,1,1.00E+08,31.9,,1,1,0,
,1,5.00E+08,51.2,,1,1,0,
,6.8,1.00E+06,8.4,,1,1,0,
,6.8,2.00E+06,9.99,,1,1,0,
,6.8,5.00E+06,13.1,,1,1,0,
,6.8,1.00E+07,16.2,,1,1,0,
,6.8,2.00E+07,20.3,,1,1,0,
,6.8,5.00E+07,27.7,,1,1,0,
,100,1.00E+06,8.5,,1,1,0,
,100,2.00E+06,11.2,,1,1,0,
,100,5.00E+06,14.5,,1,1,0,
,100,1.00E+07,17.1,,1,1,0,
,100,2.00E+07,20.7,,1,1,0,
,100,5.00E+07,27.7,,1,1,0,
,0.02,1.00E+05,4.93,,1,1,1,
,0.02,2.00E+05,5.74,,1,1,1,
,0.02,5.00E+05,7.21,,1,1,1,
,0.02,1.00E+06,8.65,,1,1,1,
,0.02,2.00E+06,10.7,,1,1,1,
,1,1.00E+06,18.5,,1,1,1,
,1,2.00E+06,21.9,,1,1,1,
,1,5.00E+06,28.4,,1,1,1,
,1,1.00E+07,32.6,,1,1,1,
,1,2.00E+07,39.5,,1,1,1,
,1,5.00E+07,49.1,,1,1,1,
,1,1.00E+08,60.1,,1,1,1,
,4.38,1.00E+06,21.5,,1,1,1,
,4.38,2.00E+06,26.4,,1,1,1,
,4.38,5.00E+06,33.9,,1,1,1,
,4.38,1.00E+07,41,,1,1,1,
,4.38,2.00E+07,48.5,,1,1,1,
,4.38,5.00E+07,62.3,,1,1,1,
,100,1.00E+06,20.8,,1,1,1,
,100,2.00E+06,29,,1,1,1,
,100,5.00E+06,39.2,,1,1,1,
,100,1.00E+07,45.8,,1,1,1,
,100,2.00E+07,58,,1,1,1,
,100,5.00E+07,77.4,,1,1,1,
,1000,1.00E+06,21.5,,1,1,1,
,1000,2.00E+06,27.1,,1,1,1,
,1000,5.00E+06,36,,1,1,1,
,1000,1.00E+07,45.3,,1,1,1,
,1000,2.00E+07,54.1,,1,1,1,
,1000,5.00E+07,75.2,,1,1,1,
,1000,1.00E+08,91.4,,1,1,1,
Ref-4,0.7,3.00E+05,5.8,116,1,0,0,
,0.7,5.00E+05,6.9,151,1,0,0,
,0.7,7.00E+05,7.78,179,1,0,0,
,0.7,1.00E+06,8.65,214,1,0,0,
,0.7,5.00E+06,13.79,483,1,0,0,
,0.7,1.00E+07,16.77,675,1,0,0,
,0.7,5.00E+07,25.8,1490,1,0,0,
,0.7,1.00E+08,31.4,2070,1,0,0,
,0.7,1.00E+09,63,6240,1,0,0,
,0.7,1.00E+10,127,19300,1,0,0,
,0.021,3.00E+05,4.29,1830,1,0,0,
,0.021,1.00E+06,5.43,3030,1,0,0,
,0.021,1.00E+07,10.11,8450,1,0,0,
,0.021,1.00E+08,19.1,22900,1,0,0,
,0.021,4.00E+08,30.8,46000,1,0,0,
,0.005,3.00E+05,3.26,4620,1,0,0,
,0.005,1.00E+06,4.45,8290,1,0,0,
,0.005,3.80E+07,5.66,12800,1,0,0,
,0.005,1.00E+07,8,20800,1,0,0,
Ref-5,1000,1.00E+05,3.47,,0.5,0,0,
,1000,1.00E+06,8.02,,0.5,0,0,
,1000,5.00E+06,13.13,,0.5,0,0,
,1000,1.00E+07,16.26,,0.5,0,0,
,1000,1.00E+08,33.68,,0.5,0,0,
,1000,1.00E+09,66.58,,0.5,0,0,
,1,1.00E+07,17.6295,,0.5,0,0,
,1000,1.00E+07,16.2655,,0.5,0,0,
,10,1.00E+08,31.5505,,0.5,0,0,
,100,1.00E+08,33.324,,0.5,0,0,
Ref-6,0.7,2000000,10.85,,0.5,0,0,
,0.7,2000000,10.68,,0.5,0,0,
,0.7,2000000,10.56,,0.5,0,0,
,0.7,2000000,11.02,,0.5,0,0,
,0.7,20000000,20.52,,0.5,0,0,
,0.7,20000000,20.54,,0.5,0,0,
,0.7,20000000,20.64,,0.5,0,0,
,0.7,200000000,40.57,,0.5,0,0,
,0.7,200000000,39.42,,0.5,0,0,
,0.7,200000000,39.41,,0.5,0,0,
,0.7,2000000000,89.07,,0.5,0,0,
,0.7,2000000000,84.49,,0.5,0,0,
,0.7,2000000000,84.1,,0.5,0,0,
,0.7,2000000000,79.75,,0.5,0,0,
,0.7,2000000000,79.6,,0.5,0,0,
,0.7,20000000000,201.08,,0.5,0,0,
,0.7,20000000000,171.79,,0.5,0,0,
,0.7,20000000000,173.13,,0.5,0,0,
,0.7,2E+11,387.07,,0.5,0,0,
,0.7,2E+11,373.64,,0.5,0,0,
,0.7,2E+11,352.67,,0.5,0,0,
Ref-7,0.69,1.10E+08,32.78,,4,0,0,
,0.69,1.53E+08,36.37,,4,0,0,
,0.69,1.92E+08,39.17,,4,0,0,
,0.7,2.84E+08,43.72,,4,0,0,
,0.7,3.83E+08,48,,4,0,0,
,0.7,5.14E+08,52.59,,4,0,0,
,0.7,6.28E+08,55.89,,4,0,0,
,0.72,9.35E+08,62.94,,4,0,0,
,0.71,1.17E+09,67.7,,4,0,0,
,0.72,1.26E+09,69.15,,4,0,0,
,0.72,1.67E+09,75.2,,4,0,0,
,0.72,2.07E+09,80.44,,4,0,0,
,0.77,2.86E+09,89.89,,4,0,0,
,0.77,4.16E+09,100.2,,4,0,0,
,0.77,5.24E+09,107.5,,4,0,0,
,0.78,6.24E+09,112.1,,4,0,0,
,0.78,7.85E+09,120.3,,4,0,0,
,0.77,7.95E+09,122.3,,4,0,0,
,0.78,9.51E+09,127.8,,4,0,0,
,0.78,1.13E+10,134.5,,4,0,0,
,0.9,1.28E+10,141.7,,4,0,0,
,0.9,1.77E+10,157.7,,4,0,0,
,0.9,2.35E+10,169.9,,4,0,0,
,0.9,2.93E+10,183.8,,4,0,0,
,0.9,3.57E+10,195.3,,4,0,0,
,0.93,4.34E+10,211,,4,0,0,
,0.93,5.15E+10,222.8,,4,0,0,
,0.95,5.92E+10,233.7,,4,0,0,
,1.01,7.80E+10,256.7,,4,0,0,
,1.04,9.89E+10,280.4,,4,0,0,
,1.02,1.02E+11,282.4,,4,0,0,
,1.07,1.33E+11,307.1,,4,0,0,
,1.16,1.50E+11,329.9,,4,0,0,
,1.22,1.67E+11,331.4,,4,0,0,
,1.27,2.08E+11,362.5,,4,0,0,
,1.26,2.40E+11,377,,4,0,0,
,1.46,3.10E+11,415,,4,0,0,
,1.51,3.47E+11,432.2,,4,0,0,
,1.45,3.96E+11,442.5,,4,0,0,
Ref-8,0.02,5.00E+05,4.48,2440,1,1,0,
,0.02,1.00E+06,5.78,3200,1,1,0,
,0.02,2.00E+06,6.9,4290,1,1,0,
,0.02,5.00E+06,8.85,6650,1,1,0,
,0.02,1.00E+07,10.3,9420,1,1,0,
,0.1,5.00E+05,6.11,749,1,1,0,
,0.1,1.00E+06,7.34,1030,1,1,0,
,0.1,2.00E+06,8.85,1380,1,1,0,
,0.1,5.00E+06,11.3,2090,1,1,0,
,0.1,1.00E+07,13.9,2870,1,1,0,
,0.1,2.00E+07,16.4,3870,1,1,0,
,0.1,5.00E+07,20.8,6020,1,1,0,
,0.1,1.00E+08,26.7,9140,1,1,0,
,0.5,1.00E+06,8.38,285,1,1,0,
,0.5,3.00E+06,11.4,482,1,1,0,
,0.5,1.00E+07,15.9,874,1,1,0,
,0.5,3.00E+07,21.6,1480,1,1,0,
,0.5,1.00E+08,30.6,2610,1,1,0,
,1,1.00E+06,8.18,147,1,1,0,
,1,2.00E+06,10.1,213,1,1,0,
,1,5.00E+06,13.3,340,1,1,0,
,1,1.00E+07,16.3,491,1,1,0,
,1,2.00E+07,19.8,702,1,1,0,
,1,5.00E+07,26,1100,1,1,0,
,1,1.00E+08,31.4,1530,1,1,0,
,1,2.00E+08,38.6,2170,1,1,0,
,1,5.00E+08,49.2,3330,1,1,0,
,1,1.00E+09,61.2,4700,1,1,0,
,1,2.00E+09,76.8,6580,1,1,0,
,6.8,1.00E+06,7.9,24.9,1,1,0,
,6.8,2.00E+06,9.46,35.6,1,1,0,
,6.8,5.00E+06,12.9,59.7,1,1,0,
,6.8,1.00E+07,15.9,89.2,1,1,0,
,6.8,2.00E+07,19.5,128,1,1,0,
,6.8,5.00E+07,26.1,217,1,1,0,
,6.8,1.00E+08,31.6,314,1,1,0,
,6.8,2.00E+08,38.5,452,1,1,0,
,6.8,5.00E+08,50.5,729,1,1,0,
,6.8,1.00E+09,65.7,1070,1,1,0,
,6.8,2.00E+09,77,1520,1,1,0,
,6.8,5.00E+09,101,2400,1,1,0,
,50,1.00E+06,8.17,3.53,1,1,0,
,50,2.00E+06,9.66,5.19,1,1,0,
,50,5.00E+06,13.8,9.38,1,1,0,
,50,1.00E+07,16.7,14,1,1,0,
,50,2.00E+07,20.2,21.1,1,1,0,
,50,5.00E+07,26.4,35.2,1,1,0,
,50,1.00E+08,31.8,50.8,1,1,0,
,50,2.00E+08,38.7,76.4,1,1,0,
,50,5.00E+08,51.8,137,1,1,0,
,50,1.00E+09,61.5,202,1,1,0,
,100,1.00E+06,7.94,1.8,1,1,0,
,100,2.00E+06,10.4,2.78,1,1,0,
,100,5.00E+06,13.9,4.9,1,1,0,
,100,1.00E+07,16.8,7.02,1,1,0,
,100,2.00E+07,20.1,9.91,1,1,0,
,100,5.00E+07,26.1,17.1,1,1,0,
,100,1.00E+08,31.8,26,1,1,0,
,100,2.00E+08,39.1,37.5,1,1,0,
,100,5.00E+08,49.7,71.4,1,1,0,
Ref-9,0.021,5.00E+05,5.2,,1,2,0,
,0.021,5.00E+05,5.2,,1,2,0,
,0.021,1.00E+06,6.3,,1,2,0,
,0.021,1.00E+06,6.3,,1,2,0,
,0.021,1.00E+07,10.8,,1,2,0,
,0.021,1.00E+07,11.1,,1,2,0,
,0.021,1.00E+08,19.6,,1,2,0,
,0.021,1.00E+09,35.4,,1,2,0,
,0.021,1.00E+09,36.2,,1,2,0,
Ref-10,100,1.00E+05,9.8,,1,1,1,
,100,2.00E+05,11.3,,1,1,1,
,100,6.50E+05,17.3,,1,1,1,
,100,2.00E+06,24.1,,1,1,1,
,100,5.00E+06,31,,1,1,1,
,100,1.00E+07,38.1,,1,1,1,
,1000,6.50E+04,8.6,,1,1,1,
,1000,1.00E+05,9.8,,1,1,1,
,1000,2.00E+05,12.1,,1,1,1,
,1000,3.20E+05,14.1,,1,1,1,
,1000,2.00E+06,24.3,,1,1,1,
,1000,6.00E+06,34.2,,1,1,1,
,100,1.00E+04,2.2,,1,2,0,
,100,1.00E+05,3.9,,1,2,0,
,100,1.00E+06,7.1,,1,2,0,
,100,1.00E+07,14.4,,1,2,0,
,100,5.00E+07,22.6,,1,2,0,
Ref-11,0.787,4.91E+11,439.4,,1,0,0,
,0.787,6.14E+11,472.17,,1,0,0,
,0.787,3.69E+11,401.83,,1,0,0,
Ref-12,2547.9,1.00E+05,4.7,,1,0,0,
,2547.9,1.00E+06,7.6,,1,0,0,
,2547.9,1.00E+07,13.2,,1,0,0,
,2547.9,1.00E+08,25.6,,1,0,0,
,2547.9,1.00E+09,52.9,,1,0,0,
,2547.9,1.00E+09,52.9,,1,0,0,
Ref-13,0.7,3.00E+05,5.8,116,1,0,0,
,0.7,5.00E+05,6.9,151,1,0,0,
,0.7,7.00E+05,7.78,179,1,0,0,
,0.7,1.00E+06,8.65,214,1,0,0,
,0.7,5.00E+06,13.79,483,1,0,0,
,0.7,1.00E+07,16.77,675,1,0,0,
,0.7,5.00E+07,25.8,1490,1,0,0,
